i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
15,225,812152,819694,827795,792038,783099,822627,793085,805307,781003,772972,780934,811802,813339,784844,805796,792317,800838,847908,792108,797904,806355,791200,789523,787498,792666,809287,823116,800209,797625,782051,784635,813548
15,203,1315337,1300322,1281954,1300531,1308842,1297458,1300950,1289497,1284817,1323368,1284119,1303535,1297668,1302347,1320086,1322111,1274970,1298087,1328606,1316943,1287542,1297529,1313311,1315337,1334543,1289078,1284608,1310309,1328467,1274341,1323159,1321832
15,202,623099,619397,634832,634761,635739,627010,635041,630083,608641,619048,598655,604382,623797,630780,622540,627708,599005,629034,624286,638533,639091,639720,638742,629943,619956,627150,634692,639511,641187,613880,634063,637066
15,192,598865,582522,599982,589437,578891,606686,581056,573373,582871,571767,604591,601518,591113,594744,596490,610598,588878,583011,582034,592859,586014,600959,606826,580148,594325,582104,580357,584618,571837,597259,587691,573374
15,174,703343,677083,681274,705718,686232,667166,679737,687420,675547,696429,705648,699222,702365,707044,703204,705578,677782,676455,694333,684207,665141,673731,665700,697547,693496,692797,700898,678620,696219,700409,682042,680855
15,160,1191513,1186346,1195634,1203036,1153452,1192073,1186416,1218121,1213443,1205900,1187463,1183552,1190816,1201221,1193050,1178034,1207926,1171610,1157991,1216026,1193120,1202757,1184041,1211208,1175939,1205132,1168886,1184111,1179362,1179851,1219030,1177475
15,158,588948,594255,615766,598585,600541,601519,593208,573723,571697,589785,605708,610388,610667,592999,596001,600122,578402,599493,603893,584478,595443,596909,610179,585665,571348,604312,603893,572186,579589,600471,601868,606477
15,137,582173,587062,556403,579519,573514,588179,574211,573025,583291,579449,580846,575608,583221,588878,581614,582382,588458,586363,578542,556543,578123,575120,570161,573932,586085,570650,578751,567507,566459,562828,562688,567298
15,135,590693,574701,590484,572675,579938,595094,588319,573304,574561,562898,579100,588109,577704,585106,587411,572256,574840,564923,569673,583430,595024,596211,581964,594185,583360,589996,592579,585456,578472,580218,588459,567647
15,131,733722,730440,721431,723736,723526,735259,736865,738472,726459,733653,738402,744617,747061,717380,715076,736027,704740,731837,733862,730789,735119,740707,738891,717170,745665,724784,721571,720523,749855,727158,739309,734211
15,98,1476733,1454176,1459065,1469400,1465280,1482600,1478619,1455572,1489934,1490142,1485184,1452569,1514446,1623953,1443840,1460810,1463464,1449916,1453826,1482880,1470449,1500549,1461159,1447821,1476803,1465839,1436926,1446215,1442373,1439370,1451731,1478200
15,95,1184879,1173775,1168397,1139973,1160016,1164905,1145071,1142417,1161762,1157572,1155197,1168118,1160784,1164207,1148004,1164974,1177267,1141090,1161622,1172308,1144093,1153172,1153172,1150937,1168188,1178733,1157781,1168327,1136551,1167210,1171889,1149052
15,83,896237,873120,883456,886599,891208,900497,891907,878428,880733,887018,899868,882618,896236,883596,875005,884923,897913,882688,898192,888065,877660,899239,875774,900706,896027,877520,899309,901544,897424,874028,897842,878358
15,65,1366180,1360523,1363596,1365620,1380287,1380776,1390413,1356751,1374420,1351025,1383499,1379309,1368484,1353120,1369322,1349628,1367925,1351374,1365481,1352911,1364434,1359545,1376306,1390903,1349628,1365970,1349278,1361361,1390692,1353818,1387131,1360522
15,52,792317,781213,779676,793923,779746,772972,779047,768083,786800,782051,802304,779467,778000,782819,805795,773810,767245,788127,777301,777162,772553,781772,778489,770178,778349,774858,786171,768572,776533,773111,779467,779607
15,49,1782835,1785559,1800784,1790867,1752316,1755319,1790867,1788074,1793660,1827462,1782207,1755110,1777248,1783324,1768519,1793381,1833608,1763002,1795127,1771452,1784093,1802041,1774594,1789890,1782137,1769007,1786048,1787375,1787445,1772220,1768240,1802110
15,36,3216758,3235684,3250630,3248465,3251189,3290857,3245322,3241411,3232402,3238338,3227234,3239875,3253702,3217457,3241760,3202022,3216479,3250281,3237221,3210124,3227723,3211451,3261595,3234916,3223183,3223812,3254610,3215711,3226256,3207120,3262642,3242528
15,23,1644276,1645743,1653494,1682268,1652587,1638899,1674585,1641623,1671513,1635476,1656847,1651749,1667811,1652028,1661317,1652028,1659850,1657056,1663901,1658663,1679056,1656707,1678567,1646999,1663831,1668091,1659990,1662643,1657825,1657685,1662434,1659431
15,17,4158181,4118233,4107128,4107198,4142257,4102519,4119978,4120607,4161323,4141280,4105871,4106570,4121585,4109991,4118512,4144282,4144352,4140022,4148193,4141070,4144562,4142397,4129337,4142188,4126473,4142676,4114601,4105802,4128289,4127451,4101891,4134785
15,0,215242,212938,214963,213427,219014,214683,214334,214195,215103,215452,216010,215242,216360,214614,214474,214684,214195,215242,213985,214195,215591,213915,219572,215312,215871,212658,213007,215451,216918,215102,212868,215731
