i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
15,225,1062761,1124570,1806981,1811590,1591035,1783166,1773458,1546476,1554577,1523359,1320962,1150411,1130646,1133370,1141402,1385913,1276125,1456592,1225909,1237363,1267254,1277731,1220322,1225210,1264461,1120240,1177160,1122685,1148875,1127224,1138958,1196785
15,207,1792175,1817666,1798460,1805585,1736583,1721287,1762912,1738188,1742239,1740703,1750899,1672818,1696144,1689230,1684760,1675891,1683224,1699008,1637059,1687066,1689300,1680849,1692443,1632311,1676590,1655777,1590616,1640482,1631962,1602140,1588521,1608285
15,190,1178208,1106133,1102920,1113187,1117656,1112348,1114583,1145173,1105573,1104108,1108018,1111650,1084482,1080921,1085181,1079593,1079034,1071911,1088533,1070933,1076730,1087835,1080012,1075054,1071073,1078616,1083365,1080222,1084692,1090698,1080991,1080781
15,195,1336676,1293794,1302734,1307762,1290232,1302943,1308600,1302943,1297774,1298333,1311393,1295051,1303083,1311323,1303851,1301546,1305178,1297775,1291838,1305387,1301337,1296378,1310905,1304060,1299870,1310765,1303642,1299800,1306715,1299311,1300219,1309996
15,173,527994,536374,534978,535745,534209,543777,535886,535885,536724,536095,567523,562145,541473,533441,535117,533860,535327,534838,504108,489163,494540,487276,486718,486788,486718,487137,486718,488324,494052,486857,486928,486648
15,162,833266,814898,829565,811546,810708,805679,812873,846396,838016,830124,885157,810777,846535,813361,806587,803095,803724,849330,813431,811685,812104,848282,804701,811615,812105,807006,819717,807216,805330,813362,811476,815177
15,163,796390,779908,772575,775508,773971,772575,768594,775927,768384,771877,771387,775229,768594,769432,776765,773902,767895,766709,766708,772924,772365,765731,771038,768524,770689,825234,774461,776276,770340,774321,780048,771178
15,135,686671,671096,669281,677662,671167,669211,669979,669350,670258,676335,667815,668862,669420,663903,666208,678221,667814,668862,670398,669560,664741,675356,670259,667745,668373,669351,666417,678849,668513,667814,669421,674099
15,131,998927,979931,974693,977905,985867,973854,973925,974553,980559,973646,970991,975112,1003677,983912,972249,974483,972877,982655,1002000,974274,1007379,980420,974693,1001931,973017,982446,974553,1005074,980839,981258,984471,979302
15,133,710766,698335,661947,662018,663415,687369,660690,669630,663135,663344,660202,668442,660621,668442,661179,678919,662297,687021,688068,675776,661808,662645,659992,662926,665020,668722,660551,662017,689814,692258,660830,698055
15,116,946757,892979,992642,930205,892142,911278,890605,913373,922871,909531,918471,891304,937329,893049,892561,893050,898636,891862,889977,892491,889208,900243,892979,893189,892840,898776,894307,892281,892002,902478,919519,891932
15,93,1263692,1262435,1247909,1269071,1259852,1249724,1264530,1246931,1261039,1251470,1260759,1255032,1263902,1249794,1255661,1246792,1250842,1252657,1250213,1266835,1261178,1249585,1247629,1256499,1253845,1249236,1248886,1255800,1246023,1250213,1259851,1252798
15,79,698823,678151,671307,682899,680664,680804,685623,664462,690652,680595,682201,684506,675567,682271,696169,683040,663553,679198,681853,679338,716703,682760,683877,677452,681084,687090,682481,680944,678430,681503,679757,672982
15,69,732138,713210,710976,710417,712582,725852,710975,713560,711674,711464,719356,711325,710557,711534,710975,710766,718728,712232,710906,709439,710486,711185,720264,711464,711674,710766,713979,717191,711813,709509,712372,712512
15,68,740728,725852,710976,717122,715236,712582,723966,716283,718309,714607,713490,724804,723896,716144,714258,714747,713979,721871,714118,714607,739959,728226,762448,751274,790174,732487,713420,714189,726061,713141,729972,715445
15,54,738143,723826,756721,720474,722010,720125,723337,728505,721312,726340,721871,724524,729414,721102,719636,722708,722778,719915,727807,723617,720823,723896,720823,721381,721522,719705,720963,720474,720264,725572,721452,720963
15,31,2424021,2409494,2421786,2411799,2414104,2421367,2407190,2422694,2406910,2412288,2420739,2409984,2421368,2406282,2413755,2414034,2408028,2418364,2406352,2411380,2421787,2410612,2416199,2414104,2409634,2415431,2405653,2412358,2409146,2412777,2421996,2416199
15,28,7441497,7283797,7293854,7282051,7291480,7291270,7344907,7791886,7937853,7557781,7550168,7504143,7528937,7486335,7492481,7499325,7493597,7516855,7497090,7637888,7291689,7281283,7281073,7284216,7293644,7293715,7316134,7279817,7295530,7282051,7293994,7284706
15,9,33379322,33319818,33570406,33513346,33320167,33315209,33344751,33350827,33331900,33287691,34148405,33396293,34263502,33307037,33338185,33320306,33317234,33322472,33366821,33330154,33319887,33314999,33284828,33317233,33317024,33289367,33306687,33293069,33314719,33746542,34542794,34255609
15,0,49620781,48337394,48548312,48295071,48260010,48319934,48337464,48299261,48321610,48303801,48439011,49364816,48345844,48446974,48295629,48289554,48276074,48321261,48294233,48290112,48308340,48407025,48352200,49516509,48460034,48424276,48516465,48587633,48315953,48341724,48334461,48382651
