i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
15,225,714377,737215,699781,680576,681833,688467,702575,709209,700689,680715,683020,682113,686792,697966,691681,701318,694055,695102,714588,702435,700689,702086,709349,702086,726740,684696,699851,681763,684696,687909,712562,700131
15,211,742103,748947,718359,765918,732466,728135,722199,717940,762636,718079,735469,726180,741475,723875,769829,725063,725133,723736,719126,758027,743081,737006,723247,732465,718289,713610,731558,722270,738821,725622,735958,724505
15,202,1586451,1606983,1599161,1605376,1591339,1565220,1577930,1573949,1585333,1639388,1600278,1582539,1573182,1597765,1606285,1583587,1563892,1584216,1572203,1591479,1599371,1608240,1603910,1595181,1567803,1585682,1571086,1552090,1605656,1594901,1583308,1566686
15,186,1624303,1599510,1598742,1592037,1591898,1604678,1566616,1600767,1607751,1586381,1577581,1616831,1606495,1570178,1595809,1615992,1592736,1587918,1592457,1632683,1592387,1600278,1623465,1572552,1611872,1589035,1573670,1608590,1596997,1619135,1593295,1587987
15,184,1884940,1835006,1826904,1816219,1806092,1835076,1849253,1805952,1821317,1816079,1823482,1800295,1823761,1813705,1796385,1799597,1824251,1831514,1834517,1824181,1817615,1799178,1797293,1831444,1817826,1822365,1845341,1826974,1816079,1829069,1836263,1796804
15,157,2074971,2066031,2056323,2041727,2075250,2083002,2094316,2100880,2067568,2084678,2088728,2087402,2052063,2080069,2054438,2043613,2056813,2066101,2048292,2060305,2062609,2047315,2082862,2077834,2060514,2051505,2039283,2059047,2059955,2109540,2047314,2048013
15,159,1618995,1648607,1607262,1621090,1628773,1605237,1656848,1596437,1618087,1614595,1623115,1642880,1602583,1580444,1615154,1598602,1601326,1632613,1603421,1626677,1622627,1616481,1623255,1589873,1602584,1642601,1744145,1766773,1612639,1609358,1608031,1630029
15,149,692029,696639,675408,647612,648310,644609,664304,662907,655504,664233,651802,663186,637625,643421,661580,666259,644818,670449,660113,634133,645587,660393,640978,642304,671636,657459,637904,657808,660672,651453,634063,659414
15,119,3967314,3905366,3967523,3945385,3944406,3937353,3946501,3933092,3976742,3967872,3977929,3930369,3943638,3943289,3961726,3940356,3909278,3931277,3926319,3925620,3952437,3939797,3987008,3917937,3914935,3940984,3945663,3907532,3945664,3932115,3935048,3945943
15,126,1220497,1180689,1189837,1179572,1166721,1177965,1192841,1188301,1170842,1184600,1188581,1157293,1185438,1164138,1182854,1175102,1177616,1171401,1213164,1168467,1175870,1188441,1168677,1164975,1165185,1175660,1164137,1180410,1171540,1185159,1170562,1183413
15,118,3842512,3817021,3803612,3791251,3796349,3837344,3776236,3827078,3837972,3808710,3798305,3816811,3816951,3792438,3849706,3810945,3797746,3821979,3787200,3809478,3811504,3801656,3789574,3826589,3800819,3800330,3796069,3797326,3826659,3798095,3845725,3850195
15,102,1115670,1067341,1064407,1050440,1057285,1065735,1082985,1093461,1075512,1071810,1076909,1093112,1086826,1077118,1084242,1096883,1059589,1098070,1107778,1085918,1066084,1087315,1088711,1089620,1061824,1093182,1101143,1052605,1078865,1107429,1063710,1088363
15,101,2957030,3003891,3016392,2955285,2962687,2966877,2972465,2962757,2959545,2984965,2992927,2962826,3001447,2993207,2979797,2999073,2976516,2951652,2967925,2989506,2930910,2995162,2986502,2952840,2960243,2964503,2991600,2964573,2984895,2945577,2965900,2977772
15,67,2512578,2540024,2497842,2517956,2526127,2542818,2497843,2517816,2497843,2498960,2526825,2504756,2472281,2473399,2523682,2487227,2518724,2525079,2471792,2504338,2495887,2470326,2485691,2492604,2506991,2525848,2488694,2488345,2547916,2494211,2506572,2505245
15,73,2622504,2630117,2633748,2610910,2640103,2628789,2619780,2622993,2632141,2635354,2611260,2623063,2620129,2602181,2605044,2624948,2626974,2597223,2621735,2616288,2610632,2617475,2612098,2595896,2609025,2605184,2632630,2695066,2785018,2616498,2644573,2629767
15,41,3607715,3592560,3600521,3596472,3635092,3603525,3606947,3616515,3594656,3611905,3617911,3635999,3621054,3591024,3590046,3617632,3585925,3618959,3621892,3616933,3609601,3634323,3609880,3599544,3634603,3626781,3609950,3639003,3597519,3618191,3598776,3585647
15,36,7479560,7411536,7404692,7386884,7431930,7426273,7395753,7417403,7451973,7422222,7412933,7376338,7392401,7457909,7422152,7439891,7424318,7392470,7425993,7377456,7398407,7405531,7403156,7415028,7411676,7393239,7445478,7401759,7472296,7416565,7474461,7440659
15,24,2684451,2656306,2656445,2669924,2690038,2657633,2661684,2655607,2656864,2649811,2659378,2668318,2659588,2662033,2662940,2636053,2640731,2663709,2648903,2656655,2657005,2628580,2675581,2642548,2633259,2682844,2636053,2687244,2663638,2656166,2638497,2666433
15,13,6857788,6875247,6833833,6855273,6872523,6851781,6862328,6864562,6872943,6850035,6865819,6881462,6871615,6861628,6833065,6880974,6854994,6875248,6871825,6858067,6882370,6919245,7036504,6865750,6865470,6865470,6836138,6831179,6887958,6871476,6867845,6874269
15,0,217198,213846,213077,212937,212309,212868,211890,212379,212379,211471,216359,212169,211889,211541,212030,212309,211261,211751,211960,212099,211751,211890,211401,212099,210214,210004,212099,211890,211750,216499,211959,211540
