i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4120,1326,1257,1257,1257,1258,1257,1258,1257,1187,1257,1187,1188,1187,1187,1188,1187,1257,1188,1117,1257,1187,1187,1187,1117,1118,1187,1187,1188,1187,1117,1257
2,1,3422,2864,2584,2585,2514,2514,2584,2514,2445,2514,2514,2515,2444,2445,2515,2514,2444,2514,2445,2444,2514,2514,2444,2514,2445,2444,2514,2515,2444,2514,2514,2514
3,5,12850,11803,10825,10476,10545,10336,10126,10126,9987,10196,10197,10266,10127,10196,10196,10127,10127,10057,10126,10126,10197,10196,10196,10197,10196,10126,10267,10266,10337,10406,10266,10267
4,3,21370,19065,18856,18368,18019,18228,18437,18227,18158,18228,17949,18088,18019,18228,19485,18088,18158,18088,18018,18158,17878,17949,18019,18298,18367,18297,18367,18228,17948,18088,18088,18088
5,11,59083,55032,57687,54124,53427,53147,53147,53287,53287,53636,53706,53147,53356,53147,53287,53426,53356,53147,53147,103640,53217,53217,53147,53217,53077,53147,53147,53287,53077,53356,53077,53147
6,20,72842,66695,64251,64461,63693,65858,64182,64112,62994,62994,63065,63204,62785,63064,62785,62855,62995,62994,63064,63204,63064,63763,62785,63134,63134,63064,62785,63204,62995,63204,62854,62784
7,19,102243,99799,98961,98612,98542,98262,97913,98473,98682,97843,103850,135207,98612,98123,97983,98612,99031,98263,98123,97914,97983,98821,97634,97914,97844,97913,98681,99170,98403,97914,104059,99101
8,27,139608,136954,135277,134928,134928,135417,134928,134649,134928,135137,135557,134998,134858,135277,170894,135347,135626,135207,137792,133601,132833,133671,140026,139468,143868,135347,135416,135208,139607,138839,134229,133391
9,37,218036,210144,208467,209236,209445,207840,242899,224321,207280,206163,205325,220759,208887,209306,208398,208677,208887,208537,208328,209446,208468,208817,213776,207420,205115,243597,205535,204836,206163,205256,206303,205814
10,42,264688,262593,272998,271113,259729,266295,259241,269367,271462,308197,266643,268040,272370,272300,260078,267761,259171,259101,259310,259101,259380,264897,263989,263780,267970,263221,263011,263361,263500,262593,263501,263361
11,64,432928,419101,417285,417145,422383,416656,427412,414841,410790,427970,411628,422034,415329,411697,415608,411697,411000,417913,417145,416587,416866,416657,416936,422104,417075,420498,428180,416237,410510,411628,410859,421056
12,78,743640,721571,714307,712282,729742,744757,729323,740637,722618,725413,712841,716473,739939,722479,726670,722828,724155,719894,727786,720384,721152,731000,736377,726390,736447,726460,722339,727856,717800,712562,732396,714168
13,82,896377,904338,932623,909995,912369,917468,898332,929131,909926,904198,911043,898332,905316,890930,896376,891000,909506,926337,896935,934788,904199,920540,893095,899520,893583,913906,901265,929760,905036,897844,899100,915722
14,96,773182,754115,743221,744548,754256,755093,760751,762985,761030,754954,752789,749296,744269,747481,754604,758237,744408,743221,755653,752788,742522,744897,775068,754814,741196,742243,778839,755582,768223,762496,752998,757468
15,106,1196891,1198777,1196542,1236071,1177337,1189908,1235791,1194098,1216097,1223221,1191583,1178384,1205481,1205202,1192562,1188232,1221475,1207996,1188721,1184810,1189139,1187463,1185158,1182644,1183063,1207437,1206878,1188721,1194517,1208624,1174403,1178873
16,125,1180619,1177267,1172727,1166930,1191444,1178035,1165325,1209183,1189768,1215049,1186137,1172308,1179921,1164417,1168537,1180340,1179082,1166651,1166861,1179781,1205551,1186067,1197171,1205482,1171541,1164766,1196822,1198428,1168607,1208135,1220008,1184251
17,140,1216796,1206319,1209114,1189069,1205272,1215119,1199126,1192002,1189768,1198428,1201012,1198986,1199336,1227900,1211208,1235792,1209183,1203456,1255975,1221894,1201361,1189209,1191235,1247315,1199615,1210091,1225316,1234884,1211487,1189349,1226084,1220636
18,150,1508860,1477293,1483858,1497267,1472963,1493426,1479388,1477921,1487839,1495241,1502854,1507394,1530091,1521152,1484696,1482810,1501108,1473173,1479179,1496708,1474290,1499222,1513818,1513120,1494474,1475966,1533653,1509628,1503413,1494822,1527087,1482950
19,166,2484922,2479336,2509995,2511111,2499658,2490929,2506921,2528362,2487716,2476472,2468301,2503778,2495468,2471164,2503429,2491627,2474167,2498121,2499309,2487855,2483106,2465996,2511950,2515791,2531434,2502173,2492185,2497563,2517258,2483525,2503779,2527454
20,214,2130841,2102207,2137755,2110309,2098156,2110519,2102836,2093617,2122042,2150326,2128886,2115826,2105070,2094107,2112473,2092919,2093757,2103116,2122251,2090335,2106467,2144949,2146973,2095294,2103116,2105839,2109261,2114429,2104303,2129096,2150815,2140130
21,228,2388964,2388405,2390221,2390081,2390850,2404887,2378628,2380234
22,233,2554202,2545961,2569916,2534787,2627463,2539955,2574734,2580112
23,254,3059064,3000609,3004520,3084695,2997467,3016393,2986991,2990273
24,278,4013825,4150360,3980164,3995528,4014803,3967453,3954673,4030307
