i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,8939,2444,1886,1886,1816,1886,1886,1886,1886,1885,1885,1886,1816,1885,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1746,1746,1746,1816,1746,1746,1746,1816
2,0,5657,3911,3562,3632,3492,3562,3492,3562,3492,3701,3422,3562,3492,3492,3492,3492,3632,3632,3631,3632,3492,3562,3562,3492,3631,3562,3562,3492,3492,3562,3562,3422
3,1,16413,13409,12712,12711,12642,12641,12572,12571,12571,12572,12362,12292,11943,11943,12083,11943,12013,12013,11593,11524,12013,12013,12082,12012,12012,12012,37085,12222,12083,12222,12013,12013
4,2,33454,31638,30591,30241,29753,29823,30591,31009,29823,30032,30032,29823,30381,29682,29892,30940,29753,29612,29962,30032,30032,30381,30241,30031,30800,30032,29962,29892,29962,29892,30591,30731
5,2,78153,73473,71588,72425,72007,71657,71797,72216,71727,72216,71727,72076,72007,72286,71588,71378,71867,71867,72565,72845,71937,71378,72355,72217,71797,71867,71517,71937,71937,71797,71867,72566
6,4,132629,127949,126833,157563,120128,120477,119778,119150,119918,120058,119639,119359,119988,119638,122223,112445,118870,114819,83810,82553,204636,121245,119569,119708,119220,119639,119499,118870,120127,119917,119708,120267
7,2,288096,302623,284604,284324,285582,282509,282090,283487,283696,282788,283417,283347,282160,283626,282439,299690,283836,284115,282300,283067,282508,282439,282998,282579,283277,282300,282369,283277,282927,310236,271823,271963
8,5,525068,520390,522275,521157,519341,516757,539386,484211,521297,515989,526395,497201,387970,390135,398445,381405,383988,387900,486655,539455,535614,521157,517037,526326,473176,471919,476948,476110,476040,476878,475132,499017
9,11,834815,824199,841102,763088,791653,762251,811629,879514,909965,828321,789907,787323,788929,792072,800035,787951,788022,792212,791374,826504,788440,788720,807298,812536,702256,699602,705469,694574,688777,693945,703862,689615
10,15,820708,807089,847806,831044,816936,819311,814771,873787,814632,800733,799406,799266,804085,798428,800383,801012,800663,827551,800034,798497,801501,797590,817075,771958,775589,775241,775870,782713,776987,771889,774752,774333
11,15,1827054,1814273,1827472,1756932,1765384,1757841,1755117,1760913,1761542,1747644,1705389,1710838,1707415,1707345,1711676,1703434,1692888,1656221,1658247,1658387,1656571,1659364,1660202,1665371,1611872,1606355,1609707,1607262,1615225,1606704,1604748,1590850
