i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,3841,1048,978,907,838,839,838,908,838,907,838,907,838,839,838,908,838,838,908,838,908,908,838,838,838,838,908,908,838,838,838,838
2,1,4330,2724,2515,2584,2584,2654,2654,2653,2654,2584,2653,2654,2654,2654,2654,2653,2654,2654,2584,2514,2444,2445,2514,2514,2444,2375,2445,2444,2444,2374,2584,2445
3,1,3981,3771,3631,3701,3631,3771,3701,3631,3631,3701,3631,3561,3562,4121,3702,3702,12571,3562,3561,3561,3562,3632,3632,3562,3632,3562,3562,3631,3631,3701,3561,3631
4,3,19903,17459,16342,16063,15993,15784,15923,15853,15923,15643,15783,15504,15574,15505,15504,15854,15714,15714,15504,15574,15784,15784,15644,15574,15644,15574,15644,15713,15713,15923,15504,15574
5,9,29402,26818,26469,25840,25631,26329,25840,25910,26049,25770,25631,25770,25701,25840,26049,26120,26189,25910,25701,25630,25980,25840,25701,25631,26189,26190,26538,26748,26678,25771,25841,25770
6,10,48189,45534,44627,44347,44277,48328,46094,45674,45255,45325,46373,48957,47979,45465,44906,44976,45115,45185,44697,44766,45395,45116,45325,45185,44836,44976,44906,44906,45046,44976,45046,45046
7,9,56499,54823,54404,54055,53915,57896,56499,54613,54055,54404,54194,54125,53845,53845,54125,54753,54055,79406,56988,54474,54474,54194,54194,54125,53915,54125,54055,53775,54334,53985,53915,54264
8,20,156997,151968,150991,151060,150572,150781,150012,150781,150571,151410,151060,152667,155879,154692,148756,148965,147639,149035,149105,148197,173618,148197,148057,147848,148477,148895,148686,148756,148057,148616,152806,152667
9,17,169986,159929,158463,157974,168939,159091,157765,157136,158044,157415,162584,158673,157905,158254,195687,157695,157695,157764,157625,157765,157904,160907,165308,161955,158394,157136,157345,157485,157485,157067,156927,157625
10,29,248275,225718,223483,223692,247088,222505,221737,223412,224320,224181,218245,218454,227534,230397,220410,224461,222714,222086,222156,223203,222155,224879,260497,221318,220201,218454,218175,218734,221388,218385,218734,217896
11,33,857824,828422,870465,835545,832892,822695,867881,854332,834567,836453,833031,828003,860967,867671,836733,828911,846650,824372,829050,838618,826397,831704,828422,827095,828841,835895,846789,847906,881010,835825,852726,858103
12,46,666537,652849,664162,655642,671635,649426,667025,648309,661229,675197,668352,650824,665489,660531,673521,666607,678270,656969,661927,648448,652220,660321,664023,671705,666048,658995,659274,659134,653896,665280,659833,656829
13,46,733722,728344,736096,737982,724992,743080,736864,740286,735956,735467,742032,754463,737283,742940,722966,764520,736585,737493,761028,735537,730648,752996,734978,751390,742940,754114,735956,733651,729182,758444,730858,726248
14,44,2749534,2729700,2749324,2735706,2770765,2747160,2759521,2747858,2770206,2736126,2755401,2742621,2733192,2764690,2745274,2749954,2759452,2750163,2787596,2730747,2727675,2727605,2751629,2757076,2767762,2764201,2736475,2750373,2769857,2777680,2742830,2752049
15,55,1132009,1157780,1115597,1109870,1114200,1135990,1116156,1100512,1116226,1130612,1114619,1143672,1169373,1139901,1102678,1127679,1122371,1131241,1124257,1109242,1122791,1117693,1129425,1110150,1107496,1123419,1132498,1115807,1120486,1108474,1139762,1152542
16,67,3080009,3088111,3093976,3073026,3121144,3086365,3103894,3086574,3071558,3101869,3081755,3104593,3071000,3094955,3088948,3058010,3115626,3123169,3096002,3086504,3074562,3077495,3079032,3102079,3073096,3076797,3069534,3064854,3094326,3064575,3098237,3086365
17,60,2413891,2427160,2423598,2426043,2434634,2447553,2418430,2447763,2399016,2422971,2451046,2454048,2407256,2429116,2437287,2428418,2418780,2415358,2490923,2419409,2425415,2409491,2428697,2403975,2429605,2437218,2440011,2434843,2409910,2412286,2434284,2438335
18,90,2071823,2076154,2070356,2082509,2075525,2032155,2071265,2063163,2078178,2064420,2068611,2039139,2083976,2085232,2091099,2063303,2101365,2129231,2196555,2048567,2078178,2069798,2030269,2046682,2100248,2050034,2045284,2070008,2050104,2079505,2082788,2053456
19,83,3341134,3328284,3351611,3341275,3324792,3333732,3285334,3312082,3308730,3331358,3311733,3304679,3315016,3313479,3321650,3273741,3348957,3308800,3307123,3362714,3303422,3350633,3300349,3333033,3341903,3328983,3299720,3299371,3344976,3323745,3340995,3313059
20,105,3350842,3387926,3332685,3357547,3333033,3341275,3316970,3303282,3351331,3346443,3316272,3317739,3346372,3333173,3346792,3338621,3339808,3345185,3374797,3323675,3333802,3289733,3333243,3346443,3345604,3361457,3392815,3300419,3331707,3345674,3337503,3320253
21,117,13106836,13023588,12991253,13014020,13033994,12995653,13019817,13022121
22,122,4699839,4689852,4680564,4667085,4663454,4680913,4710664,4689503
23,112,8183514,8234915,8223112,8175412,8158162,8220807,8220178,8189380
24,156,8997618,8964585,8938885,8970731,9010050,9018989,9038614,8940561
