i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
15,175,1297529,1257162,1295923,1301021,1248083,1293199,1262051,1247384,1297668,1291173,1268127,1315756,1245778,1251226,1293897,1256883,1249061,1296132,1294455,1284958,1293408,1272806,1265613,1268266,1273923,1297598,1269453,1256394,1266311,1259187,1263029,1254717
15,166,866556,862924,895748,881292,861248,859362,865577,886320,862784,850981,844277,845604,851121,864670,840506,868162,864740,842112,886949,843649,878428,841344,875494,854264,858384,878288,841972,897005,850982,841973,853147,866975
15,160,794343,766616,774509,768572,787079,789524,763404,768293,785962,793225,765779,780305,764173,792387,810964,807542,777023,768712,772413,795739,764173,785752,762147,788477,765289,788127,781352,764103,786381,763194,767036,768293
15,165,635949,617511,603823,607525,608223,596420,603055,602636,603823,604452,612134,613950,601798,596560,615486,600052,595791,612134,605500,595024,597957,616534,610598,600681,595932,634832,612274,617372,596909,619887,605918,603124
15,172,854334,887158,859712,812849,830589,835058,818717,820812,811103,845883,838551,849096,854753,824373,856778,847839,838480,846791,811243,834639,830729,851192,846093,825909,816342,840786,824373,847140,837014,817250,822907,834080
15,162,659205,630572,653129,640070,649637,654805,630012,648659,655644,664863,649847,653409,640489,636298,663186,671497,635390,655295,663395,650266,641117,649987,641955,645657,649289,644609,654875,650475,643561,627010,646425,662836
15,180,547044,541528,530493,529236,537617,548232,526861,534124,525604,529934,538035,547674,527001,531680,525185,534264,562828,532099,534753,534474,527001,538524,548092,541876,537546,538524,524976,535382,549559,537407,540689,530563
15,161,617652,595303,618629,623657,593417,589715,619747,624635,603963,597957,606477,612483,611505,592021,621702,619187,599005,601029,591741,611017,595163,598236,598725,610178,607455,628407,595373,618489,604382,614649,598935,598236
15,177,574421,568415,578891,554517,588738,581545,587271,570021,585106,592788,564784,581336,576866,559267,578123,576237,555495,566530,582174,565482,583012,589856,630921,580009,651383,661161,592230,615486,595792,577983,584897,581405
15,173,750833,766128,742871,742034,741615,790641,752858,757817,765918,734351,756839,757118,747341,758585,742453,764521,764312,760052,744548,741824,760401,734282,745316,764800,730161,742802,742662,752300,753418,738891,728625,750065
15,171,571628,566459,562549,545438,562060,559685,552562,564993,577424,576447,548791,554657,554657,574841,574002,554377,552213,545368,542296,545997,551444,558638,566110,573095,573513,573862,543553,547115,566251,573722,554378,557380
15,169,549000,562898,562060,557590,561432,574770,549628,571977,559755,574910,572675,554098,558987,567437,566111,571977,568904,575120,566111,567856,556264,541178,566110,566599,553121,547115,570022,570999,553749,538245,542644,553120
15,158,662487,646145,640977,669402,656341,638882,658367,655504,657809,660183,643282,651663,646145,642933,661090,649568,631409,652501,663884,666189,649009,653897,639092,655224,670938,644609,665490,651523,652780,664652,641397,642235
15,160,483981,499694,491104,486843,502209,479510,476997,486494,490196,489358,481955,480000,491523,479860,494177,480139,485727,480838,486634,495993,470292,492989,476018,480209,494806,504233,487752,491174,497180,500951,475810,483632
15,166,495085,506259,493199,507935,518969,519668,515617,520716,495295,503116,523858,509262,496063,526582,509751,504862,493619,503326,519668,517014,500113,510729,493339,503535,502139,513523,528537,504373,520227,513592,501929,507376
15,162,1045761,1059798,1038707,1038009,1040244,1050790,1040593,1050370,1040942,1035146,1058681,1021736,1029838,1036403,1015661,1038916,1038428,1035285,1042619,1034936,1029000,1038778,1018035,1024321,1053723,1022226,1037171,1047088,1047716,1067341,1031514,1040803
15,164,872980,844347,846512,835198,834710,849096,829960,843229,846023,858384,835966,841763,834430,849585,870886,833592,841274,825420,843858,829681,867184,843928,852379,842461,866765,860759,837084,854125,840436,874936,829122,832754
15,164,508075,494317,505630,524137,489986,489847,494457,519319,510239,500113,494246,493828,502487,506259,487613,491383,500253,499205,494037,507656,488450,495713,500114,520017,517293,495155,527071,517433,490126,517852,508843,507656
15,181,1551321,1531348,1527367,1514028,1530859,1512212,1547132,1536377,1524014,1521640,1568223,1528205,1534980,1541195,1501526,1530300,1541753,1503972,1540077,1540427,1534979,1519336,1534420,1533513,1522548,1537424,1525621,1513958,1543640,1552159,1551461,1557188
15,164,1845971,1825158,1825438,1828161,1797782,1791007,1799109,1826205,1803578,1862242,1818035,1799318,1789122,1827603,1845970,1805045,1826485,1817406,1807559,1824041,1809166,1806232,1804696,1798969,1809095,1810004,1854630,1802949,1822225,1833678,1814263,1807838
