i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
15,28,2581229,2496864,2530666,2513765,2484713,2541142,2521238,2487786,2534298,2511461,2499238,2547078,2499518,2527384,2524171,2509575,2498331,2509156,2507061,2505245,2503219,2507130,2481989,2498890,2488274,2575014,2495258,2490648,2493931,2505874,2514743,2499868
15,33,3043281,3027636,3002564,3015206,3033084,3019466,3008152,3016881,3043979,3045306,3021281,3046842,3052499,3022608,3016881,3011085,3017859,3038740,3036087,3030500,3061718,3038043,3027916,3044398,3005777,3020025,2998654,2991740,3007314,3011504,3052569,3057737
15,28,4053144,4070465,4027933,4064877,4050491,4036873,4050351,4085829,4023114,4059500,4098540,4049793,4068649,4067392,4044344,4057684,4044694,4029818,4075562,4070115,4039176,4019971,4030307,4068718,4063341,4023952,4057544,4013196,4025209,4047347,4060128,4066693
15,28,4802372,4798740,4822346,4811870,4771922,4808936,4803209,4790359,4802372,4793013,4809565,4824650,4793921,4802442,4804397,4790010,4844972,4791337,4782258,4809914,4815710,4770734,4780512,4806073,4833450,4798810,4786378,4810193,4776880,4789382,4793711,4792803
15,28,3061368,3037274,3100758,3035319,3017440,3008990,2988387,2979657,3009339,2986502,3021630,3020443,3008362,2988876,2984057,3008500,3023376,3016602,3013249,3005358,3006336,2990622,3033573,2998095,3043699,2996698,3003263,2986502,3013669,3033084,3021421,3008361
15,26,4364345,4353869,4384877,4355126,4390814,4350796,4364973,4348421,4369163,4339133,4364065,4388998,4336828,4368535,4376147,4343812,4386902,4340320,4352961,4340809,4361690,4359246,4365113,4357780,4370211,4351564,4343254,4340879,4364205,4395632,4328169,4347374
15,27,2147323,2119876,2124974,2119457,2107026,2134822,2109540,2126372,2107445,2106537,2119876,2113521,2098086,2112404,2102976,2107376,2112893,2122041,2109191,2120994,2120156,2104023,2116384,2106188,2106327,2111356,2107655,2112334,2131469,2116105,2128746,2130981
15,28,1030955,1014823,1017895,1014892,1008327,1013426,1017546,1005744,1006652,1031374,1014822,1010702,1026765,1001693,1002531,1013705,1028231,1015171,1014962,1015032,1016219,1009654,1007070,1014892,1030466,1049463,1030118,1004836,1011890,1007210,1009445,1005045
15,23,5163436,5155474,5152402,5157709,5184457,5167627,5174471,5151005,5182781,5169582,5152960,5150725,5190534,5162529,5153658,5205270,5186832,5178522,5182084,5162738,5153729,5139202,5147722,5179848,5146885,5164064,5195632,5174750,5189416,5170420,5158059,5188648
15,30,7378992,7400571,7354338,7366351,7370262,7397988,7398965,7421244,7429206,7369633,7395962,7425992,7418100,7413561,7382204,7406647,7425364,7392261,7390026,7436259,7399315,7367189,7390026,7440938,7388420,7439471,7399174,7389676,7355036,7356852,7387511,7386325
15,26,3601709,3545210,3589626,3574472,3605550,3575519,3577195,3589487,3552193,3558339,3547724,3572726,3580967,3612883,3543184,3575379,3559317,3564834,3581386,3574332,3554498,3550447,3553450,3562948,3577894,3581036,3578801,3551984,3560504,3558968,3601778,3553939
15,25,1438044,1421911,1427079,1445866,1438114,1426031,1442304,1443701,1435040,1433923,1439021,1437415,1425961,1421422,1426870,1433924,1424775,1434343,1435041,1439929,1434831,1439720,1439022,1433714,1439719,1451174,1431898,1437275,1422260,1440139,1440418,1431618
15,19,6242999,6260947,6187548,6222885,6245653,6231825,6238669,6217578,6208569,6257036,6196067,6251589,6211990,6231056,6244047,6247050,6230149,6226377,6228403,6270516,6209127,6200887,6170786,6228822,6229171,6277150,6194601,6169180,6195439,6212410,6259201,6249563
15,32,2840679,2867427,2891591,2845428,2848501,2881046,2861352,2885166,2874480,2874969,2854786,2898017,2878602,2861910,2886074,2890753,2851155,2924486,2909539,2857440,2870989,2872106,2876646,2858906,2884747,2896201,2866729,2863237,2856114,2900810,2866031,2871408
15,21,3386397,3374385,3430604,3380810,3360207,3388352,3380041,3402809,3394638,3406859,3381159,3374035,3389749,3408256,3447156,3391076,3377108,3377109,3411818,3400783,3388143,3398339,3408815,3413215,3386676,3357623,3375852,3375222,3386118,3387026,3403507,3403018
15,21,3319561,3354760,3331294,3311041,3308597,3299657,3345961,3319421,3349662,3306152,3318794,3329060,3322983,3351059,3341211,3305873,3306851,3319352,3310412,3339885,3345890,3331364,3328710,3365585,3323821,3305035,3349802,3317885,3328431,3345261,3320608,3312647
15,25,1211767,1231462,1217913,1208764,1212186,1228388,1231880,1220288,1209672,1211697,1210021,1209253,1245010,1218332,1209183,1226363,1225944,1264774,1217634,1221963,1206808,1207926,1238515,1210091,1217773,1250108,1219449,1218960,1231880,1227271,1222732,1229855
15,29,3403786,3377877,3379274,3421735,3437519,3379553,3403018,3394567,3407837,3399108,3425995,3410002,3421944,3415729,3414821,3380950,3384162,3392263,3407069,3450508,3379203,3392193,3390029,3399596,3401901,3399387,3422853,3399736,3374454,3373896,3428299,3413773
15,29,1482321,1483718,1480366,1507673,1489026,1499152,1488467,1491470,1484416,1485744,1472194,1465280,1484836,1490143,1469540,1509209,1477642,1513260,1490003,1478969,1471985,1501597,1482391,1494892,1477852,1482391,1474080,1471217,1492797,1481483,1485464,1486582
15,26,3020932,2977423,2986432,3000819,2979448,2960941,2957309,2985036,2942085,2994743,2982870,2982591,3016043,2987130,2969461,2975048,2962966,2966877,2982311,2996070,2977563,2991251,2958008,3002705,2971976,2968204,2960103,2958077,2970299,3005149,2975607,2980216
