i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
15,28,3996156,4069906,4194427,3937283,3955441,4043158,4097003,4103638,3961028,3941822,3957186,3903411,3933022,3908789,3936305,3925270,3941193,3915493,3955510,3921779,3931416,3932882,3930857,3931137,3943080,3921010,3924572,3928762,3950132,3926178,3941403,3931625
15,33,5499638,5495658,5430569,5453126,5474357,5469538,5447749,5425540,5474357,5471215,5499848,5509207,5482808,5480433,5469399,5483925,5546779,5454244,5476313,5468002,5512349,5444815,5438949,5508020,5467582,5503340,5456129,5639944,5491538,5454732,5522756,5447190
15,28,5971886,5930752,5962388,5920345,5935361,5943183,5952681,5954776,5988019,5974051,5939621,5901000,5955195,5913291,5954776,5931310,5926073,5905121,5941018,5945348,5941087,5930611,5972445,5897159,5938503,5930402,5916015,5927330,5917762,5973702,5907356,5976845
15,28,10200954,10171203,10141871,10075664,10153813,10130487,10140474,10140753,10127693,10137400,10139286,10135515,10128043,10143407,10186358,10142988,10135934,10128671,10129230,10116729,10166454,10153464,10167711,10185589,10154022,10116659,10125738,10119452,10136493,10101435,10145222,10166733
15,28,3870307,3862486,3802495,3856898,3827496,3844049,3815554,3818767,3838112,3843420,3868911,3886022,3855641,3852638,3830569,3835807,3831128,3854454,3812272,3844537,3818976,3872682,3891608,3832734,3827427,3864511,3831407,3867514,3857667,3834620,3839648,3851800
15,26,4432019,4437047,4429714,4430412,4478321,4443402,4442704,4417701,4467357,4465889,4479159,4461560,4435650,4449687,4407366,4461909,4436488,4432647,4427129,4463026,4472455,4421682,4453598,4434951,4444729,4449967,4424545,4443681,4448850,4438164,4435300,4479578
15,27,4682948,4669399,4682947,4690490,4694192,4711791,4676662,4654803,4693633,4697265,4665489,4666257,4669259,4687278,4659901,4678478,4683088,4700477,4669329,4689582,4676173,4687837,4675755,4663952,4672960,4694331,4675335,4682598,4691398,4692655,4692096,4685043
15,28,1036053,1032980,1023762,1012448,1021946,1014473,1011400,1010632,1026136,1010283,1032213,1015870,1026136,1022225,1015102,1032981,1024600,1023692,1046739,1028092,1026207,1011750,1019991,1020550,1020829,1013216,1016150,1009654,1024949,1011750,1012099,1032212
15,23,9440553,9501802,9478266,9471701,9469117,9478196,9452356,9488392,9500056,9523939,9475053,9446629,9504245,9485598,9474704,9478894,9478125,9526454,9455918,9439855,9480919,9433778,9473167,9472888,9486786,9450750,9479174,9470583,9458781,9466184,9509484,9500404
15,30,7404901,7422291,7386395,7361881,7394286,7385067,7396870,7394705,7404901,7402667,7408115,7424945,7411816,7409581,7400432,7422082,7404064,7444221,7383391,7382273,7524814,7397289,7401968,7414679,7380039,7383042,7387930,7416844,7437586,7413562,7388350,7421244
