i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
25,625,10930951,9756583,7463020,7974671,7780724,7671773,7440321,7335002,7201816,7024909,6976930,6765662,6734513,6657060,6509347,6508229,6498662,6455640,6286486,6247515,6498661,6287744,6248702,6285927,6274822,6260715,6216087,6243744,6234944,6247445,6271191,6251985
25,573,5876872,5973740,5889233,5829030,5876871,5808288,5815272,5847468,5922058,5900477,5807380,5820440,5809196,5840415,5799907,5838738,5813875,6086812,5870096,5835596,5834687,5918077,5835875,5840066,5871913,5840903,5834757,5797672,5842929,6246816,5905995,5826167
25,482,10734560,10673659,10714795,10816762,10747410,10837086,10774230,10725759,10710814,11010918,10827797,10713608,10855314,11257596,11094867,10837854,10731696,10718636,10779048,10782680,10731417,10720801,11280992,10789664,10919288,10671983,10687207,10694960,10705576,10659551,10732953,10729251
25,412,18023677,18119497,18278804,18537493,17923804,18310302,18301572,17884554,17927226,17818625,17975976,17901595,17973950,18034292,18099802,17909626,17934211,18250937,17937842,17876802,17972693,18130672,17973112,17903900,17929043,17886719,17892935,17947829,18077872,17871145,18009289,17872332
25,350,18036806,17900338,18155047,17957538,17954534,18258411,17973950,18103015,17929112,17935887,17927296,17957747,18455640,18308487,18350251,17929531,17990851,17998604,18220626,18091491,17961169,17952649,18164196,18392783,18099524,17958794,18552648,17970877,18008451,18038273,18152322,17936096
25,272,22102503,22447445,22516379,22637691,22549692,22193506,22108021,22750065,22114865,22064929,22440322,22326970,22156211,22135817,22179537,22124572,22488511,22189944,22128833,22403725,22384799,22295543,22140706,22152509,22164662,22314050,22142383,22146643,22566244,22497172,22332628,22163474
25,215,41551555,41676500,41900898,42255757,43173950,41912560,42107625,41658690,41690887,41588640,42115657,41381983,41678665,41826867,41503295,41585148,41481994,41773229,42210430,41480387,41667351,41491352,42489653,41600653,41629078,41641859,41877012,42740939,44689071,43336539,43589851,43944640
25,137,84209593,80924085,78895846,78715588,78584498,78874266,78744782,80134050,78639880,78748902,79429917,78573463,78539659,78756025,81452848,83007987,83069656,82503040,78531908,79720244,79991365,78782915,79045375,78861276,78762381,78704274,78870774,81133746,79032595,80690190,80363965,80997069
25,72,637678564,643957577,644346309,646546356,641712973,641639571,640895838,640739815,635707525,640448720,637556554,637590008,641487389,635588308,639214987,645577111,642117979,638777088,638105641,638851328,639890486,636959488,640562422,637748546,637777531,643578136,637571921,636743402,640582466,638167801,642434010,643077870
25,0,86883775823,87042965270,86932054148,87019195236,86937344170,86960953668,86717713920,87150081884,87055340720,86833234856,86831793162,86872467305,87068158460,86989496534,86964631140,86897983871,87089093208,86696478101,86894772003,86997237572,86820059948,86795353879,86843078171,87213015174,87372271749,87332380773,86919332196,86770445837,86914544902,87033264101,87023374317,86941758063
