i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10
1,0,1396,768,768,768,768,768,768,838,698,768
2,0,838,769,698,1187,768,1118,768,768,768,1187
3,0,769,1187,1118,768,768,769,768,838,1187,1187
4,1,3283,1257,1187,1118,1117,1187,1187,1118,1117,1187
5,0,769,769,768,699,699,768,768,1187,769,1187
6,1,1188,1117,1118,1117,1188,1118,1118,1117,1258,1117
7,1,1187,1118,1117,1117,1118,1187,1187,1117,1187,1187
8,1,1187,1117,1117,1187,1118,1118,1187,1188,1537,1117
9,0,838,768,768,768,1118,1117,768,768,1117,1187
10,1,1118,1187,1117,1118,1118,1187,1467,1187,1187,1117
11,3,2515,1956,1956,1886,1886,2234,1955,1746,1816,1886
12,1,1326,1397,1536,1188,1118,1606,1188,1536,1117,1187
13,0,838,1187,1187,768,699,768,769,768,1187,1187
14,3,1886,1746,1885,1816,1956,2445,1816,1746,1886,1816
15,5,3352,2445,2375,2375,2444,2793,2374,2654,2305,2724
16,7,5447,2863,2794,2933,3003,2794,2794,2863,2864,2724
17,1,1188,1257,1118,1187,1187,1327,1187,1187,1118,1188
18,4,2095,2095,2095,2235,2025,2095,2096,2165,1956,2095
19,5,2375,2305,2515,2304,2235,2444,2375,2305,2375,2305
20,2,1746,1536,1327,1537,1466,1397,1397,1467,1467,1466
21,4,2095,2095,2095,2166,2025,2095,1956,2095,2165,2026
22,2,1606,1606,1466,2165,1537,1467,1816,1746,1606,1466
23,5,2444,2863,2375,2375,2375,2515,2654,2304,2304,2305
24,3,1955,1816,1886,1746,1816,2165,1816,1676,1816,1885
25,6,2934,2654,2724,2515,2654,2934,2654,2654,2654,2585
